PERMIT_NUMBER,OWNER_NAME,STATUS_CODE,CITY,STREET,STATE,ZIP,ZIP4,COUNTY,PERMIT_EFFECTIVE_DATE,PERMIT_ISSUE_DATE
AK-S-15000,GLACIER CREEK DISTILLERY LLC,Active,WASILLA,1540 N SHORELINE DR ,AK,99654,0,MATANUSKA SUSITNA,9-Sep-08,9-Sep-08
AK-S-20001,"HIGH MARK DISTILLERY, INC.",Active,STERLING,37200  THOMAS ST ,AK,99672,0,Kenai Peninsula Burough,26-Oct-12,26-Oct-12
AR-S-15001,LOMBARDI LLC,Active,NORTH LITTLE ROCK,3021 E BROADWAY ,AR,72114,0,PULASKI,17-Oct-08,24-May-11
AR-S-15002,"PERNOD RICARD USA BOTTLING, LLC",Active,FORT SMITH,7401 HIGHWAY 45 S,AR,72916,9393,SEBASTIAN,1-Apr-11,1-Apr-11
AR-S-15003,"ROCK TOWN DISTILLERY, INC.",Active,LITTLE ROCK,1216 E 6TH ST ,AR,72202,2712,PULASKI,2-Aug-12,5-Nov-12
AR-S-20001,ARKANSAS MOONSHINE INC.,Active,NEWPORT,421  BEECH ST ,AR,72112,3905,Jackson,1-May-12,1-May-12
AZ-S-15002,"ONE FIFTY, INC.",Active,TEMPE,1210 W ALAMEDA DR ,AZ,85282,3340,MARICOPA,21-Aug-06,21-Aug-06
AZ-S-15005,"DESERT DIAMOND DISTILLERY, INC.",Active,KINGMAN,4875 OLYMPIC WAY ,AZ,86401,0,MOHAVE,12-Nov-09,12-Nov-09
AZ-S-15006,SONORAN SPIRITS LLC,Active,PHOENIX,1725 W WILLIAMS DR ,AZ,85027,1332,MARICOPA,18-Jul-12,18-Jul-12
AZ-S-20001,ARIZONA SPIRITS LLC,Active,TEMPE,601  W UNIVERSITY DR ,AZ,85281,0,MARICOPA,7-Jun-12,7-Jun-12
AZ-S-20002,LIPSMARK LLC,Active,TEMPE,5235  S KYRENE RD ,AZ,85283,1780,MARICOPA,20-Aug-12,20-Aug-12
CA-S-117,"FRANK-LIN DISTILLERS PRODUCTS, LTD.",Active,FAIRFIELD,2455 HUNTINGTON  DR ,CA,94533,0,SOLANO,1-May-67,1-May-67
CA-S-125,GIUMARRA VINEYARDS CORPORATION,Active,EDISON,11220 EDISON HWY ,CA,93220,0,KERN,23-Apr-65,23-Apr-65
CA-S-135,VIE-DEL COMPANY,Active,FRESNO,11903 S CHESTNUT AVE ,CA,93725,9618,FRESNO,29-Apr-91,29-Apr-91
CA-S-15001,O'NEILL BEVERAGES CO. LLC,Active,PARLIER,8418 S LAC JAC AVE ,CA,93648,9708,FRESNO,4-Aug-04,17-Nov-04
CA-S-15002,MODERN SPIRITS LLC,Active,LOS ANGELES,2459 E 8TH ST ,CA,90021,0,LOS ANGELES,17-Oct-04,17-Oct-04
CA-S-15004,GEORGE H MONTEVERDI AND MANBIN K MONTEVERDI,Active,NAPA,1794 TANEN ST ,CA,94559,1310,NAPA,24-Feb-05,24-Feb-05
CA-S-15007,HALTER WINERY LLC,Active,PASO ROBLES,8910 ADELAIDA RD ,CA,93446,8798,SAN LUIS OBISPO,17-Aug-05,17-Aug-05
CA-S-15008,"SAVANNAH-CHANELLE VINEYARDS, INC.",Active,SARATOGA,23600 CONGRESS SPRINGS RD ,CA,95070,9755,SANTA CLARA,19-Aug-05,19-Aug-05
CA-S-15009,"MARIAN TRADING, LTD.",Active,FRESNO,2305 N ROLINDA AVE ,CA,93722,0,FRESNO,9-Sep-05,9-Sep-05
CA-S-15010,STAGLIN FAMILY VINEYARD LLC,Active,RUTHERFORD,1570 BELLA OAKS LN ,CA,94573,0,NAPA,30-Aug-05,30-Aug-05
CA-S-15012,"CONSTELLATION BRANDS U.S. OPERATIONS, INC.",Active,GONZALES,800 S ALTA ST ,CA,93926,9501,MONTEREY,1-May-06,5-May-06
CA-S-15013,"BROTHERS INTERNATIONAL DESSERTS, INC.",Active,IRVINE,1682 KETTERING ,CA,92614,5614,ORANGE,27-Mar-06,27-Mar-06
CA-S-15014,"GREENWAY DISTILLERS, INC",Active,UKIAH,5000 LOW GAP RD ,CA,95482,0,MENDOCINO,4-May-06,4-May-06
CA-S-15018,"FOG'S END DISTILLERY, LLC",Active,GONZALES,425 ALTA ST ,CA,93926,0,MONTEREY,14-Apr-09,14-Apr-09
CA-S-15020,"LAVA SPRINGS, INC.",Active,PLACERVILLE,2221 FRUITRIDGE RD ,CA,95667,3700,EL DORADO,2-Mar-07,2-Mar-07
CA-S-15022,"SPOTTSWOODE WINERY, INC.",Active,SAINT HELENA,1902 MADRONA AVE ,CA,94574,2354,NAPA,8-Aug-06,8-Aug-06
